Station checkout,Station turn in,time checkout,time turn in,
Clark&Randolf,California&Byron,710,1358,
California&Byron,Clark&Randolf,1009,1539,
Clark&Randolf,California&Byron,811,1510,
California&Byron,Clark&Randolf,1222,1800,
Dayton&North,PinGrove&IrvingPark,1723,2136,
California&Byron,Clark&Randolf,1337,1915,
Clark&Randolf,Kedzie&Foster,2025,259,
California&Byron,Clark&Randolf,1655,2240,
California&Byron,Clark&Randolf,1929,59,
Clark&Randolf,California&Byron,1430,2113,
Clark&Armitage,Dayton&North,1410,1554,
Kedzie&Foster,PinGrove&IrvingPark,900,1122,
PinGrove&IrvingPark,Dayton&North,1207,1528,
Clark&Randolf,California&Byron,1905,159,
Kedzie&Foster,Clark&Randolf,915,1435,
Clark&Randolf,Kedzie&Foster,830,1505,
Clark&Randolf,Kedzie&Foster,1815,35,
Kedzie&Foster,Clark&Randolf,1705,2229,
Clark&Randolf,Kedzie&Foster,1545,2221,
Kedzie&Foster,Clark&Randolf,1927,44,
PinGrove&IrvingPark,Dayton&North,1820,2137,
Kedzie&Foster,Larrabee&Lincoln,1510,1943,
Sheridan&Montrose,PinGrove&IrvingPark,700,906,
California&Byron,Clark&Randolf,135,705,
Clark&Armitage,California&Byron,1102,1549,
Kedzie&Foster,Larrabee&Lincoln,139,624,
Larrabee&Lincoln,Kedzie&Foster,1220,1807,
Clark&Randolf,Kedzie&Foster,1130,1753,
PinGrove&IrvingPark,California&Byron,800,1050,
Clark&Armitage,Michigan&Pearson,1040,1249,
California&Byron,Diversey&Lincoln,135,332,
Kedzie&Foster,Clark&Armitage,900,1254,
PinGrove&IrvingPark,Kedzie&Foster,1227,1500,
PinGrove&IrvingPark,Larrabee&Lincoln,2131,45,
Michigan&Pearson,California&Byron,1053,1752,
Kedzie&Foster,Clark&Randolf,155,713,
Kedzie&Foster,Clark&Randolf,1134,1651,
PinGrove&IrvingPark,Kedzie&Foster,1729,1955,
Clark&Armitage,PinGrove&IrvingPark,1316,1552,
Clark&Armitage,Kedzie&Foster,828,1257,
Kedzie&Foster,California&Byron,900,1023,
California&Byron,Larrabee&Lincoln,1338,1847,
Larrabee&Lincoln,PinGrove&IrvingPark,834,1230,
Kedzie&Foster,Clark&Armitage,1123,1520,
Clark&Armitage,Kedzie&Foster,1405,1828,
California&Byron,Kedzie&Foster,1605,1730,
Kedzie&Foster,Clark&Armitage,1555,1955,
Clark&Armitage,Diversey&Lincoln,2130,156,
California&Byron,Kedzie&Foster,1859,2020,
California&Byron,Larrabee&Lincoln,1248,1756,
Clark&Armitage,Kedzie&Foster,1623,2045,
Kedzie&Foster,Clark&Armitage,2105,57,
Kedzie&Foster,Clark&Armitage,1415,609,
Clark&Armitage,Kedzie&Foster,2127,200,
California&Byron,Clark&Armitage,1158,1605,
Larrabee&Lincoln,Kedzie&Foster,1855,35,
California&Byron,Kedzie&Foster,1130,1258,
Diversey&Lincoln,California&Byron,1908,2113,
California&Byron,PinGrove&IrvingPark,1009,1243,
California&Byron,Kedzie&Foster,2058,2220,
Clark&Armitage,California&Byron,805,1245,
California&Byron,Clark&Armitage,2004,19,
Larrabee&Lincoln,Clark&Armitage,1215,1419,
California&Byron,Clark&Armitage,259,705,
Clark&Armitage,California&Byron,1943,29,
Clark&Armitage,California&Byron,2121,205,
California&Byron,Clark&Armitage,138,540,
Sheridan&Montrose,Clark&Armitage,1529,1750,
Michigan&Pearson,Kedzie&Foster,608,1248,
Kedzie&Foster,California&Byron,2036,2158,
Kedzie&Foster,Michigan&Pearson,135,702,
Michigan&Pearson,Kedzie&Foster,1758,35,
PinGrove&IrvingPark,Dayton&North,2135,45,
Larrabee&Lincoln,Kedzie&Foster,819,1404,
California&Byron,Michigan&Pearson,1124,1700,
Clark&Armitage,Larrabee&Lincoln,1713,1900,
Kedzie&Foster,Clark&Armitage,1246,1640,
Michigan&Pearson,California&Byron,1749,39,
California&Byron,Michigan&Pearson,140,705,
Michigan&Pearson,California&Byron,1444,2134,
Larrabee&Lincoln,California&Byron,626,1245,
Larrabee&Lincoln,Diversey&Lincoln,1215,1808,
California&Byron,Larrabee&Lincoln,155,657,
Clark&Armitage,Michigan&Pearson,2205,15,
Diversey&Lincoln,Clark&Armitage,1635,2025,
Larrabee&Lincoln,Diversey&Lincoln,819,1403,
Michigan&Pearson,Larrabee&Lincoln,600,740,
California&Byron,Kedzie&Foster,1201,1325,
Michigan&Pearson,Clark&Armitage,600,846,
Michigan&Pearson,Larrabee&Lincoln,650,830,
Larrabee&Lincoln,Kedzie&Foster,1501,2045,
Kedzie&Foster,Larrabee&Lincoln,1953,30,
Larrabee&Lincoln,California&Byron,1228,1830,
Larrabee&Lincoln,California&Byron,1505,2113,
California&Byron,Larrabee&Lincoln,1924,30,
Larrabee&Lincoln,California&Byron,2159,400,
California&Byron,Michigan&Pearson,900,1438,
PinGrove&IrvingPark,Kedzie&Foster,1346,1619,
PinGrove&IrvingPark,Kedzie&Foster,1935,2208,
Kedzie&Foster,California&Byron,1345,1515,
PinGrove&IrvingPark,Clark&Armitage,1234,1458,
Clark&Armitage,PinGrove&IrvingPark,945,1225,
Larrabee&Lincoln,Clark&Armitage,1720,1928,
PinGrove&IrvingPark,Sheridan&Montrose,1754,1949,
Clark&Armitage,PinGrove&IrvingPark,1942,2217,
PinGrove&IrvingPark,Clark&Armitage,1925,2146,
PinGrove&IrvingPark,Clark&Armitage,2134,2349,
PinGrove&IrvingPark,Clark&Armitage,2343,154,
Diversey&Lincoln,Larrabee&Lincoln,1616,2104,
California&Byron,Kedzie&Foster,914,1036,
Diversey&Lincoln,Larrabee&Lincoln,216,659,
Kedzie&Foster,California&Byron,130,252,
California&Byron,Kedzie&Foster,1024,1156,
California&Byron,Diversey&Lincoln,1007,1214,
Clark&Armitage,PinGrove&IrvingPark,1204,1444,
California&Byron,Dayton&North,251,2157,
Dayton&North,California&Byron,741,1350,
Clark&Randolf,California&Byron,600,1242,
Kedzie&Foster,Dayton&North,1140,1638,
Dayton&North,Kedzie&Foster,1634,2238,
Sheridan&Montrose,PinGrove&IrvingPark,907,1114,
PinGrove&IrvingPark,Larrabee&Lincoln,1438,1756,
PinGrove&IrvingPark,Larrabee&Lincoln,2001,2316,
California&Byron,PinGrove&IrvingPark,1907,2133,
Larrabee&Lincoln,Kedzie&Foster,900,1455,
Kedzie&Foster,California&Byron,1840,2000,
California&Byron,Diversey&Lincoln,1330,1530,
Kedzie&Foster,Larrabee&Lincoln,1205,1645,
Larrabee&Lincoln,Sheridan&Montrose,815,1154,
Kedzie&Foster,PinGrove&IrvingPark,1028,1250,
Clark&Armitage,Diversey&Lincoln,1050,1517,
Kedzie&Foster,PinGrove&IrvingPark,1625,1840,
PinGrove&IrvingPark,Sheridan&Montrose,2243,33,
PinGrove&IrvingPark,Diversey&Lincoln,1339,1634,
Michigan&Pearson,PinGrove&IrvingPark,742,1237,
California&Byron,Kedzie&Foster,138,255,
Kedzie&Foster,Michigan&Pearson,1135,1703,
Diversey&Lincoln,Clark&Armitage,1423,1810,
Belmont&Broadway,Clark&Armitage,753,958,
Diversey&Lincoln,PinGrove&IrvingPark,1731,2001,
Clark&Armitage,Larrabee&Lincoln,1215,1357,
Larrabee&Lincoln,Clark&Armitage,2210,16,
Kedzie&Foster,PinGrove&IrvingPark,2110,2319,
Sheridan&Montrose,Larrabee&Lincoln,1236,1533,
Clark&Armitage,Diversey&Lincoln,1819,2235,
Clark&Armitage,Larrabee&Lincoln,951,1132,
PinGrove&IrvingPark,Michigan&Pearson,1445,1836,
Diversey&Lincoln,PinGrove&IrvingPark,1009,1250,
Larrabee&Lincoln,Clark&Armitage,1450,1654,
